week,date,team,played,won,drawn,lost,gf,ga,gd,points,position
2025-09-27,2025-09-27,Bristol Firebrands M2,1,1,0,0,5,1,4,3,1
2025-09-27,2025-09-27,Bridgwater M1,1,1,0,0,4,1,3,3,2
2025-09-27,2025-09-27,Sidmouth & Ottery M1,1,1,0,0,3,0,3,3,3
2025-09-27,2025-09-27,Taunton Vale M2,1,1,0,0,4,3,1,3,4
2025-09-27,2025-09-27,Culm Valley Hornets M1,1,1,0,0,2,1,1,3,5
2025-09-27,2025-09-27,Yeovil & Sherborne M1,1,1,0,0,2,1,1,3,6
2025-09-27,2025-09-27,Chard M1,1,0,0,1,3,4,-1,0,7
2025-09-27,2025-09-27,Clifton Robinsons M5,1,0,0,1,1,2,-1,0,8
2025-09-27,2025-09-27,Isca M4,1,0,0,1,1,2,-1,0,9
2025-09-27,2025-09-27,Mid Somerset M1,1,0,0,1,1,4,-3,0,10
2025-09-27,2025-09-27,Team Bath Buccaneers M5,1,0,0,1,0,3,-3,0,11
2025-09-27,2025-09-27,Tiverton White Eagles M1,1,0,0,1,1,5,-4,0,12
2025-10-04,2025-10-04,Bridgwater M1,2,2,0,0,10,3,7,6,1
2025-10-04,2025-10-04,Bristol Firebrands M2,2,2,0,0,9,4,5,6,2
2025-10-04,2025-10-04,Sidmouth & Ottery M1,2,2,0,0,6,2,4,6,3
2025-10-04,2025-10-04,Culm Valley Hornets M1,2,1,1,0,4,3,1,4,4
2025-10-04,2025-10-04,Team Bath Buccaneers M5,2,1,0,1,5,3,2,3,5
2025-10-04,2025-10-04,Taunton Vale M2,2,1,0,1,7,7,0,3,6
2025-10-04,2025-10-04,Yeovil & Sherborne M1,2,1,0,1,4,4,0,3,7
2025-10-04,2025-10-04,Clifton Robinsons M5,2,0,1,1,2,3,-1,1,8
2025-10-04,2025-10-04,Isca M4,2,0,1,1,2,3,-1,1,9
2025-10-04,2025-10-04,Mid Somerset M1,2,0,1,1,3,6,-3,1,10
2025-10-04,2025-10-04,Chard M1,2,0,0,2,5,10,-5,0,11
2025-10-04,2025-10-04,Tiverton White Eagles M1,2,0,0,2,1,10,-9,0,12
2025-10-11,2025-10-11,Bridgwater M1,3,3,0,0,13,3,10,9,1
2025-10-11,2025-10-11,Sidmouth & Ottery M1,3,3,0,0,8,3,5,9,2
2025-10-11,2025-10-11,Culm Valley Hornets M1,3,2,1,0,7,3,4,7,3
2025-10-11,2025-10-11,Taunton Vale M2,3,2,0,1,17,7,10,6,4
2025-10-11,2025-10-11,Bristol Firebrands M2,3,2,0,1,9,7,2,6,5
2025-10-11,2025-10-11,Yeovil & Sherborne M1,3,1,1,1,6,6,0,4,6
2025-10-11,2025-10-11,Team Bath Buccaneers M5,3,1,0,2,5,13,-8,3,7
2025-10-11,2025-10-11,Clifton Robinsons M5,3,0,2,1,4,5,-1,2,8
2025-10-11,2025-10-11,Isca M4,3,0,2,1,4,5,-1,2,9
2025-10-11,2025-10-11,Mid Somerset M1,3,0,2,1,5,8,-3,2,10
2025-10-11,2025-10-11,Chard M1,3,0,0,3,5,13,-8,0,11
2025-10-11,2025-10-11,Tiverton White Eagles M1,3,0,0,3,2,12,-10,0,12
2025-10-18,2025-10-18,Bridgwater M1,4,3,1,0,14,4,10,10,1
2025-10-18,2025-10-18,Taunton Vale M2,4,3,0,1,25,9,16,9,2
2025-10-18,2025-10-18,Bristol Firebrands M2,4,3,0,1,16,7,9,9,3
2025-10-18,2025-10-18,Sidmouth & Ottery M1,4,3,0,1,10,11,-1,9,4
2025-10-18,2025-10-18,Yeovil & Sherborne M1,4,2,1,1,9,8,1,7,5
2025-10-18,2025-10-18,Culm Valley Hornets M1,4,2,1,1,7,10,-3,7,6
2025-10-18,2025-10-18,Clifton Robinsons M5,4,1,2,1,6,6,0,5,7
